Date,Index Category,Sub Category,Region, Plow , Index , Phigh ,type
1/1/2018,Cement,Cement Price Index,Appalachian, 31.52 , 100.00 , 158.35 ,Normalized Price
2/1/2018,Cement,Cement Price Index,Appalachian, 31.01 , 100.75 , 159.21 ,Normalized Price
3/1/2018,Cement,Cement Price Index,Appalachian, 30.35 , 100.87 , 161.99 ,Normalized Price
4/1/2018,Cement,Cement Price Index,Appalachian, 29.61 , 100.57 , 160.39 ,Normalized Price
5/1/2018,Cement,Cement Price Index,Appalachian, 28.80 , 102.17 , 160.23 ,Normalized Price
6/1/2018,Cement,Cement Price Index,Appalachian, 29.35 , 106.33 , 166.16 ,Normalized Price
7/1/2018,Cement,Cement Price Index,Appalachian, 29.47 , 101.60 , 168.37 ,Normalized Price
8/1/2018,Cement,Cement Price Index,Appalachian, 30.58 , 102.33 , 168.34 ,Normalized Price
9/1/2018,Cement,Cement Price Index,Appalachian, 33.33 , 103.72 , 171.82 ,Normalized Price
10/1/2018,Cement,Cement Price Index,Appalachian, 36.96 , 104.43 , 167.97 ,Normalized Price
11/1/2018,Cement,Cement Price Index,Appalachian, 39.09 , 107.07 , 169.77 ,Normalized Price
12/1/2018,Cement,Cement Price Index,Appalachian, 40.61 , 106.60 , 172.12 ,Normalized Price
1/1/2019,Cement,Cement Price Index,Appalachian, 41.73 , 106.36 , 174.14 ,Normalized Price
2/1/2019,Cement,Cement Price Index,Appalachian, 40.09 , 109.45 , 177.07 ,Normalized Price
3/1/2019,Cement,Cement Price Index,Appalachian, 39.78 , 106.01 , 176.10 ,Normalized Price
4/1/2019,Cement,Cement Price Index,Appalachian, 36.35 , 106.82 , 176.97 ,Normalized Price
5/1/2019,Cement,Cement Price Index,Appalachian, 34.31 , 107.12 , 177.73 ,Normalized Price
6/1/2019,Cement,Cement Price Index,Appalachian, 32.86 , 106.52 , 177.76 ,Normalized Price
7/1/2019,Cement,Cement Price Index,Appalachian, 31.70 , 104.18 , 178.01 ,Normalized Price
8/1/2019,Cement,Cement Price Index,Appalachian, 30.98 , 101.34 , 179.46 ,Normalized Price
9/1/2019,Cement,Cement Price Index,Appalachian, 29.37 , 97.36 , 180.21 ,Normalized Price
10/1/2019,Cement,Cement Price Index,Appalachian, 32.41 , 98.55 , 174.18 ,Normalized Price
11/1/2019,Cement,Cement Price Index,Appalachian, 35.51 , 97.38 , 165.03 ,Normalized Price
12/1/2019,Cement,Cement Price Index,Appalachian, 35.91 , 98.81 , 161.34 ,Normalized Price
